name,team,opp,salary,fppg,played,injury,inj_details,game,is_home,is_dome,team_implied,game_ou,spread,is_fav,fav_margin,opp_softness_rank,opp_tier,opp_fd_fpa,opp_rush_yds_allowed,opp_rush_td_allowed,rush_yds_ou,rush_att_ou,rec_ou,atd_prob,atd_odds,vegas_implied_fd,value_fd,composite_proj,salary_efficiency,vegas_grade,vegas_takeaway
Rico Dowdle,PIT,ATL,6100,11.54,18,,,ATL@PIT,True,False,23.0,42.5,-3.5,True,3.5,22,TOUGH,18.4,97.4,0.46,50.5,11.5,2.5,0.456,119,10.95,1.8,11.62,1.91,ELITE,High-volume RB1/RB2: 50.5 Rush Yds + 2.5 Rec O/U in favorable script
Tony Pollard,TEN,NYJ,6000,10.49,17,,,NYJ@TEN,True,False,20.5,39.5,-1.5,True,1.5,1,SMASH,27.6,111.3,1.09,39.0,10.0,2.5,0.415,141,9.55,1.59,11.88,1.98,ELITE,High-volume RB1/RB2: 39.0 Rush Yds + 2.5 Rec O/U in favorable script
Tyler Allgeier,ARI,LAC,5900,6.82,17,,,ARI@LAC,False,False,18.75,47.5,10.0,False,-10.0,29,LOCKDOWN,16.3,85.0,0.65,23.0,6.5,1.5,0.27,270,5.75,0.97,2.88,0.49,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Aaron Jones Sr.,MIN,GB,5900,8.72,12,,,GB@MIN,True,True,24.0,46.5,-1.5,True,1.5,14,NEUTRAL,20.1,106.2,0.78,39.0,8.5,2.0,0.345,190,8.5,1.44,8.88,1.5,AVERAGE,Committee rotation: 8.5 Carries O/U; TD-dependent fantasy output
Chuba Hubbard,CAR,CHI,5800,8.08,16,Q,Hamstring,CHI@CAR,True,False,22.25,47.5,3.0,False,-3.0,18,NEUTRAL,18.9,105.0,0.52,32.0,7.5,2.0,0.319,213,7.6,1.31,7.38,1.27,AVERAGE,Committee rotation: 7.5 Carries O/U; TD-dependent fantasy output
Jeremiyah Love,ARI,LAC,5800,,0,Q,Ankle,ARI@LAC,False,False,18.75,47.5,10.0,False,-10.0,29,LOCKDOWN,16.3,85.0,0.65,28.5,8.0,2.5,0.395,153,8.35,1.44,5.47,0.94,ELITE,High-volume RB1/RB2: 28.5 Rush Yds + 2.5 Rec O/U in favorable script
Jonathon Brooks,CAR,CHI,5700,2.0,3,Q,General soreness,CHI@CAR,True,False,22.25,47.5,3.0,False,-3.0,18,NEUTRAL,18.9,105.0,0.52,27.5,6.5,1.0,0.18,456,5.1,0.89,4.88,0.86,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Jacory Croskey-Merritt,WAS,PHI,5700,8.34,17,Q,Lower body,WAS@PHI,False,False,19.5,44.5,5.5,False,-5.5,12,FAVORABLE,21.1,98.7,0.73,28.0,7.5,2.0,0.33,203,7.3,1.28,7.98,1.4,AVERAGE,Committee rotation: 7.5 Carries O/U; TD-dependent fantasy output
Rachaad White,WAS,PHI,5600,7.24,17,Q,Hamstring,WAS@PHI,False,False,19.5,44.5,5.5,False,-5.5,12,FAVORABLE,21.1,98.7,0.73,24.0,6.5,1.5,0.286,250,5.95,1.06,6.62,1.18,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Kyle Monangai,CHI,CAR,5600,8.33,19,Q,Knee,CHI@CAR,False,False,25.25,47.5,-3.0,True,3.0,7,FAVORABLE,22.4,108.1,1.02,41.0,8.5,2.0,0.329,204,8.6,1.54,11.53,2.06,GOOD,Solid Flex RB: 8.5 Carries O/U; dependable touch floor
