name,team,opp,salary,fppg,played,injury,inj_details,game,is_home,is_dome,team_implied,game_ou,spread,is_fav,fav_margin,opp_softness_rank,opp_tier,opp_fd_fpa,opp_rush_yds_allowed,opp_rush_td_allowed,rush_yds_ou,rush_att_ou,rec_ou,atd_prob,atd_odds,vegas_implied_fd,value_fd,composite_proj,salary_efficiency,vegas_grade,vegas_takeaway
Kye Robichaux,DET,NO,4000,,0,Q,Foot,NO@DET,True,True,28.25,49.5,-7.0,True,7.0,19,NEUTRAL,18.6,100.7,0.61,56.5,10.5,2.0,0.395,153,10.5,2.62,11.62,2.91,GOOD,Solid Flex RB: 10.5 Carries O/U; dependable touch floor
Frank Gore Jr.,BUF,HOU,4000,0.55,2,,,BUF@HOU,False,True,23.0,44.5,-1.5,True,1.5,27,LOCKDOWN,17.4,73.5,0.65,28.5,6.5,1.0,0.18,456,5.2,1.3,3.62,0.91,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Anthony Tyus III,CAR,CHI,4000,,0,,,CHI@CAR,True,False,22.25,47.5,3.0,False,-3.0,18,NEUTRAL,18.9,105.0,0.52,38.0,9.0,2.5,0.395,153,9.35,2.34,9.12,2.28,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Joshua Pitsenberger,HOU,BUF,4000,,0,Q,Ankle,BUF@HOU,True,True,21.5,44.5,1.5,False,-1.5,10,FAVORABLE,21.5,104.7,0.98,39.0,9.5,2.0,0.395,153,8.8,2.2,9.78,2.44,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
Dameon Pierce,PHI,WAS,4000,0.72,5,,,WAS@PHI,True,False,25.0,44.5,-5.5,True,5.5,3,SMASH,24.9,121.1,1.05,31.0,6.5,1.0,0.18,456,5.4,1.35,8.93,2.23,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Gary Brightwell,CIN,TB,4000,0.0,2,,,TB@CIN,True,False,27.0,50.5,-3.5,True,3.5,16,NEUTRAL,19.4,78.1,0.5,51.5,10.0,2.0,0.395,153,10.0,2.5,11.57,2.89,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Ahmani Marshall,CAR,CHI,4000,,0,,,CHI@CAR,True,False,22.25,47.5,3.0,False,-3.0,18,NEUTRAL,18.9,105.0,0.52,38.0,9.0,2.5,0.395,153,9.35,2.34,9.12,2.28,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Eli Heidenreich,PIT,ATL,4000,,0,,,ATL@PIT,True,False,23.0,42.5,-3.5,True,3.5,22,TOUGH,18.4,97.4,0.46,44.0,10.0,2.0,0.395,153,9.3,2.33,9.98,2.49,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Carlos Washington Jr.,MIA,LV,4000,,0,,,MIA@LV,False,True,19.0,41.5,3.5,False,-3.5,13,NEUTRAL,21.1,100.9,0.92,32.5,9.0,2.5,0.395,153,8.75,2.19,9.28,2.32,ELITE,High-volume RB1/RB2: 32.5 Rush Yds + 2.5 Rec O/U in favorable script
Miles Davis,CAR,CHI,4000,,0,,,CHI@CAR,True,False,22.25,47.5,3.0,False,-3.0,18,NEUTRAL,18.9,105.0,0.52,38.0,9.0,2.5,0.395,153,9.35,2.34,9.12,2.28,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Lucas Scott,BAL,IND,4000,,0,,,BAL@IND,False,True,25.5,47.5,-3.5,True,3.5,20,NEUTRAL,18.4,91.2,0.72,48.5,10.0,2.0,0.395,153,9.7,2.42,10.67,2.67,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Cash Jones,ATL,PIT,4000,,0,,,ATL@PIT,False,False,19.5,42.5,3.5,False,-3.5,26,TOUGH,16.8,97.8,0.25,33.5,9.0,2.5,0.395,153,8.85,2.21,7.42,1.86,ELITE,High-volume RB1/RB2: 33.5 Rush Yds + 2.5 Rec O/U in favorable script
Anderson Castle,IND,BAL,4000,,0,,,BAL@IND,True,True,22.0,47.5,3.5,False,-3.5,15,NEUTRAL,19.6,78.0,0.62,38.0,9.0,2.5,0.395,153,9.35,2.34,9.57,2.39,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Coleman Bennett,MIA,LV,4000,,0,,,MIA@LV,False,True,19.0,41.5,3.5,False,-3.5,13,NEUTRAL,21.1,100.9,0.92,32.5,9.0,2.5,0.395,153,8.75,2.19,9.28,2.32,ELITE,High-volume RB1/RB2: 32.5 Rush Yds + 2.5 Rec O/U in favorable script
Tyler Goodson,ATL,PIT,4000,0.42,10,,,ATL@PIT,False,False,19.5,42.5,3.5,False,-3.5,26,TOUGH,16.8,97.8,0.25,24.0,6.5,1.0,0.18,456,4.7,1.18,3.28,0.82,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Julius Chestnut,TEN,NYJ,4000,0.31,13,,,NYJ@TEN,True,False,20.5,39.5,-1.5,True,1.5,1,SMASH,27.6,111.3,1.09,25.5,6.5,1.0,0.18,456,4.9,1.23,7.22,1.81,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Demond Claiborne,MIN,GB,4000,,0,,,GB@MIN,True,True,24.0,46.5,-1.5,True,1.5,14,NEUTRAL,20.1,106.2,0.78,43.5,9.5,2.0,0.395,153,9.2,2.3,9.57,2.39,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
Elijah Mitchell,PHI,WAS,4000,0.0,1,Q,Undisclosed,WAS@PHI,True,False,25.0,44.5,-5.5,True,5.5,3,SMASH,24.9,121.1,1.05,50.0,10.5,2.0,0.395,153,9.9,2.48,13.43,3.36,GOOD,Solid Flex RB: 10.5 Carries O/U; dependable touch floor
Josh Williams,TB,CIN,4000,0.55,2,,,TB@CIN,False,False,23.5,50.5,3.5,False,-3.5,4,SMASH,24.6,113.2,0.7,29.0,6.5,1.0,0.18,456,5.2,1.3,7.08,1.77,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Kentrel Bullock,CIN,TB,4000,,0,,,TB@CIN,True,False,27.0,50.5,-3.5,True,3.5,16,NEUTRAL,19.4,78.1,0.5,51.5,10.0,2.0,0.395,153,10.0,2.5,11.57,2.89,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Sam Scott,NYJ,TEN,4000,,0,Q,Undisclosed,NYJ@TEN,False,False,19.0,39.5,1.5,False,-1.5,21,TOUGH,18.7,84.9,0.91,34.5,9.5,2.0,0.395,153,8.3,2.08,7.63,1.91,AVERAGE,Committee rotation: 9.5 Carries O/U; TD-dependent fantasy output
British Brooks,HOU,BUF,4000,0.98,8,Q,Hand,BUF@HOU,True,True,21.5,44.5,1.5,False,-1.5,10,FAVORABLE,21.5,104.7,0.98,26.5,6.5,1.0,0.18,456,5.0,1.25,5.97,1.49,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Evan Hull,ARI,LAC,4000,0.98,6,,,ARI@LAC,False,False,18.75,47.5,10.0,False,-10.0,29,LOCKDOWN,16.3,85.0,0.65,23.0,6.5,1.0,0.18,456,4.6,1.15,1.72,0.43,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Jerome Ford,WAS,PHI,4000,2.35,13,Q,Hamstring,WAS@PHI,False,False,19.5,44.5,5.5,False,-5.5,12,FAVORABLE,21.1,98.7,0.73,24.0,6.5,1.0,0.18,456,4.7,1.18,5.38,1.34,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Raheem Blackshear,DET,NO,4000,0.53,15,Q,Undisclosed,NO@DET,True,True,28.25,49.5,-7.0,True,7.0,19,NEUTRAL,18.6,100.7,0.61,35.0,6.5,1.0,0.18,456,5.8,1.45,6.92,1.73,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Michael Burton,CLE,JAC,4000,2.21,11,,,CLE@JAC,False,False,16.0,40.5,8.5,False,-8.5,30,LOCKDOWN,15.7,66.6,0.51,22.5,6.5,1.0,0.18,456,4.6,1.15,1.57,0.39,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Jacob Saylors,DET,NO,4000,0.11,10,,,NO@DET,True,True,28.25,49.5,-7.0,True,7.0,19,NEUTRAL,18.6,100.7,0.61,35.0,6.5,1.0,0.18,456,5.8,1.45,6.92,1.73,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Robert Henry Jr.,WAS,PHI,4000,,0,,,WAS@PHI,False,False,19.5,44.5,5.5,False,-5.5,12,FAVORABLE,21.1,98.7,0.73,31.5,8.5,2.5,0.395,153,8.65,2.16,9.33,2.33,ELITE,High-volume RB1/RB2: 31.5 Rush Yds + 2.5 Rec O/U in favorable script
Amar Johnson,LAC,ARI,4000,0.8,1,,,ARI@LAC,True,False,28.75,47.5,-10.0,True,10.0,2,SMASH,25.3,117.9,1.03,35.5,6.5,1.0,0.18,456,5.9,1.48,9.57,2.39,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Kene Nwangwu,NYJ,TEN,4000,1.09,10,,,NYJ@TEN,False,False,19.0,39.5,1.5,False,-1.5,21,TOUGH,18.7,84.9,0.91,23.5,6.5,1.0,0.18,456,4.7,1.18,4.03,1.01,FADE,Limited touch share: Negative game script or secondary change-of-pace role
J'Mari Taylor,JAC,CLE,4000,,0,,,CLE@JAC,True,False,24.5,40.5,-8.5,True,8.5,11,FAVORABLE,21.0,101.2,0.81,49.0,10.5,2.0,0.395,153,9.8,2.45,12.12,3.03,GOOD,Solid Flex RB: 10.5 Carries O/U; dependable touch floor
Max Hurleman,PIT,ATL,4000,,0,,,ATL@PIT,True,False,23.0,42.5,-3.5,True,3.5,22,TOUGH,18.4,97.4,0.46,44.0,10.0,2.0,0.395,153,9.3,2.33,9.98,2.49,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Jackson Acker,BUF,HOU,4000,,0,,,BUF@HOU,False,True,23.0,44.5,-1.5,True,1.5,27,LOCKDOWN,17.4,73.5,0.65,41.5,9.5,2.0,0.395,153,9.0,2.25,7.42,1.86,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
Ulysses Bentley IV,IND,BAL,4000,0.0,1,,,BAL@IND,True,True,22.0,47.5,3.5,False,-3.5,15,NEUTRAL,19.6,78.0,0.62,38.0,9.0,2.5,0.395,153,9.35,2.34,9.57,2.39,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Lew Nichols,PIT,ATL,4000,0.0,1,,,ATL@PIT,True,False,23.0,42.5,-3.5,True,3.5,22,TOUGH,18.4,97.4,0.46,44.0,10.0,2.0,0.395,153,9.3,2.33,9.98,2.49,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Gregory Desrosiers,LAC,ARI,4000,,0,,,ARI@LAC,True,False,28.75,47.5,-10.0,True,10.0,2,SMASH,25.3,117.9,1.03,60.5,11.0,2.0,0.395,153,10.9,2.73,14.57,3.64,GOOD,Solid Flex RB: 11.0 Carries O/U; dependable touch floor
Roman Hemby,LV,MIA,4000,,0,,,MIA@LV,True,True,22.5,41.5,-3.5,True,3.5,8,FAVORABLE,21.9,102.7,0.72,43.0,10.0,2.0,0.395,153,9.2,2.3,11.97,2.99,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Salvon Ahmed,CHI,CAR,4000,,0,,,CHI@CAR,False,False,25.25,47.5,-3.0,True,3.0,7,FAVORABLE,22.4,108.1,1.02,48.0,10.0,2.0,0.395,153,9.7,2.42,12.62,3.16,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Elijah Tau-Tolliver,BAL,IND,4000,,0,,,BAL@IND,False,True,25.5,47.5,-3.5,True,3.5,20,NEUTRAL,18.4,91.2,0.72,48.5,10.0,2.0,0.395,153,9.7,2.42,10.67,2.67,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Travis Homer,PIT,ATL,4000,-0.04,5,,,ATL@PIT,True,False,23.0,42.5,-3.5,True,3.5,22,TOUGH,18.4,97.4,0.46,44.0,10.0,2.0,0.395,153,9.3,2.33,9.98,2.49,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Jamal Haynes,CIN,TB,4000,,0,,,TB@CIN,True,False,27.0,50.5,-3.5,True,3.5,16,NEUTRAL,19.4,78.1,0.5,51.5,10.0,2.0,0.395,153,10.0,2.5,11.57,2.89,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Max Bredeson,MIN,GB,4000,,0,,,GB@MIN,True,True,24.0,46.5,-1.5,True,1.5,14,NEUTRAL,20.1,106.2,0.78,43.5,9.5,2.0,0.395,153,9.2,2.3,9.57,2.39,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
Kalel Mullings,TEN,NYJ,4000,0.23,3,,,NYJ@TEN,True,False,20.5,39.5,-1.5,True,1.5,1,SMASH,27.6,111.3,1.09,25.5,6.5,1.0,0.18,456,4.9,1.23,7.22,1.81,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Ian Wheeler,BUF,HOU,4000,,0,,,BUF@HOU,False,True,23.0,44.5,-1.5,True,1.5,27,LOCKDOWN,17.4,73.5,0.65,41.5,9.5,2.0,0.395,153,9.0,2.25,7.42,1.86,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
Roydell Williams,DET,NO,4000,,0,,,NO@DET,True,True,28.25,49.5,-7.0,True,7.0,19,NEUTRAL,18.6,100.7,0.61,56.5,10.5,2.0,0.395,153,10.5,2.62,11.62,2.91,GOOD,Solid Flex RB: 10.5 Carries O/U; dependable touch floor
Davon Booth,IND,BAL,4000,,0,,,BAL@IND,True,True,22.0,47.5,3.5,False,-3.5,15,NEUTRAL,19.6,78.0,0.62,38.0,9.0,2.5,0.395,153,9.35,2.34,9.57,2.39,ELITE,High-volume RB1/RB2: 38.0 Rush Yds + 2.5 Rec O/U in favorable script
Jordan Mims,PHI,WAS,4000,2.87,7,,,WAS@PHI,True,False,25.0,44.5,-5.5,True,5.5,3,SMASH,24.9,121.1,1.05,31.0,6.5,1.0,0.18,456,5.4,1.35,8.93,2.23,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Bam Knight,ARI,LAC,4000,6.83,12,,,ARI@LAC,False,False,18.75,47.5,10.0,False,-10.0,29,LOCKDOWN,16.3,85.0,0.65,23.0,6.5,1.5,0.27,270,5.75,1.44,2.88,0.72,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Jaden Nixon,GB,MIN,4000,,0,,,GB@MIN,False,True,22.5,46.5,1.5,False,-1.5,25,TOUGH,17.9,104.9,0.72,41.0,9.5,2.0,0.395,153,9.0,2.25,7.72,1.93,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
Jabari Small,DET,NO,4000,,0,,,NO@DET,True,True,28.25,49.5,-7.0,True,7.0,19,NEUTRAL,18.6,100.7,0.61,56.5,10.5,2.0,0.395,153,10.5,2.62,11.62,2.91,GOOD,Solid Flex RB: 10.5 Carries O/U; dependable touch floor
Carson Steele,PHI,WAS,4000,1.57,13,,,WAS@PHI,True,False,25.0,44.5,-5.5,True,5.5,3,SMASH,24.9,121.1,1.05,31.0,6.5,1.0,0.18,456,5.4,1.35,8.93,2.23,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Kendall Milton,CIN,TB,4000,0.2,1,,,TB@CIN,True,False,27.0,50.5,-3.5,True,3.5,16,NEUTRAL,19.4,78.1,0.5,33.5,6.5,1.0,0.18,456,5.7,1.43,7.28,1.82,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Kadarius Calloway,TB,CIN,4000,,0,Q,Undisclosed,TB@CIN,False,False,23.5,50.5,3.5,False,-3.5,4,SMASH,24.6,113.2,0.7,40.5,9.0,2.5,0.395,153,9.55,2.39,11.43,2.86,ELITE,High-volume RB1/RB2: 40.5 Rush Yds + 2.5 Rec O/U in favorable script
DeeJay Dallas,MIN,GB,4000,0.42,5,,,GB@MIN,True,True,24.0,46.5,-1.5,True,1.5,14,NEUTRAL,20.1,106.2,0.78,29.5,6.5,1.0,0.18,456,5.3,1.32,5.67,1.42,AVERAGE,Committee rotation: 6.5 Carries O/U; TD-dependent fantasy output
Noah Whittington,HOU,BUF,4000,,0,,,BUF@HOU,True,True,21.5,44.5,1.5,False,-1.5,10,FAVORABLE,21.5,104.7,0.98,39.0,9.5,2.0,0.395,153,8.8,2.2,9.78,2.44,GOOD,Solid Flex RB: 9.5 Carries O/U; dependable touch floor
DJ Herman,MIA,LV,4000,,0,,,MIA@LV,False,True,19.0,41.5,3.5,False,-3.5,13,NEUTRAL,21.1,100.9,0.92,32.5,9.0,2.5,0.395,153,8.75,2.19,9.28,2.32,ELITE,High-volume RB1/RB2: 32.5 Rush Yds + 2.5 Rec O/U in favorable script
AJ Dillon,CAR,CHI,4000,1.27,6,,,CHI@CAR,True,False,22.25,47.5,3.0,False,-3.0,18,NEUTRAL,18.9,105.0,0.52,27.5,6.5,1.0,0.18,456,5.1,1.27,4.88,1.22,FADE,Limited touch share: Negative game script or secondary change-of-pace role
Dontae McMillan,BAL,IND,4000,,0,,,BAL@IND,False,True,25.5,47.5,-3.5,True,3.5,20,NEUTRAL,18.4,91.2,0.72,48.5,10.0,2.0,0.395,153,9.7,2.42,10.67,2.67,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Donovan Edwards,MIA,LV,4000,,0,,,MIA@LV,False,True,19.0,41.5,3.5,False,-3.5,13,NEUTRAL,21.1,100.9,0.92,32.5,9.0,2.5,0.395,153,8.75,2.19,9.28,2.32,ELITE,High-volume RB1/RB2: 32.5 Rush Yds + 2.5 Rec O/U in favorable script
