Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134046-137889,WR,Brennan,Brennan Presley,Presley,,0,1000,1500,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
134046-175021,RB,Jordan,Jordan James,James,4,1,1000,1500,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-152756,WR,Will,Will Pauling,Pauling,,0,1000,1500,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-60858,WR,Christian,Christian Kirk,Kirk,6.1769233116736775,13,1000,1500,SF@LAR,SF,LAR,IR,Calf,,,,MVP - 1.5X Points/AnyFLEX
134046-85306,WR,KhaDarel,KhaDarel Hodge,Hodge,0.9199999809265137,5,1000,1500,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-171212,WR,Wesley,Wesley Grimes,Grimes,,0,1000,1500,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-114530,WR,Jacob,Jacob Cowing,Cowing,,0,1000,1500,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-110954,RB,Jordan,Jordan Waters,Waters,,0,1000,1500,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
134046-137965,TE,Dan,Dan Villari,Villari,,0,1000,1500,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
134046-155629,TE,Khalil,Khalil Dinkins,Dinkins,,0,1000,1500,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-104306,QB,Kurtis,Kurtis Rourke,Rourke,,0,1000,1500,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-104054,RB,Sincere,Sincere McCormick,McCormick,,0,1000,1500,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-166781,QB,Ty,Ty Simpson,Simpson,,0,1000,1500,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
