id,name,pos,team,opp,salary,fppg,proj,team_implied,game_ou,spread,soft_rank
133104-92606,Bo Melton,WR,GB,MIN,4400,1.850000063578288,1.0,22.5,46.5,1.5,32
133104-157150,Audric Estime,RB,NO,DET,4400,8.419999694824218,6.65,21.25,49.5,7.0,23
133104-154245,Seydou Traore,TE,MIA,LV,4400,,2.75,19.0,41.5,3.5,29
133104-158402,Skyler Bell,WR,BUF,HOU,4400,,4.11,23.0,44.5,-1.5,26
133104-170825,Chris Bell,WR,MIA,LV,4400,,4.67,19.0,41.5,3.5,13
133104-71521,Justice Hill,RB,BAL,IND,4400,5.470000076293945,8.81,25.5,47.5,-3.5,20
133104-134023,Keaton Mitchell,RB,LAC,ARI,4400,3.915384732759916,10.84,28.75,47.5,-10.0,2
133104-128986,Jaylin Lane,WR,WAS,PHI,4400,2.942857197352818,1.3,19.5,44.5,5.5,25
133104-72705,John Bates,TE,WAS,PHI,4300,2.422222137451172,1.0,19.5,44.5,5.5,31
133104-60451,Tyler Conklin,TE,DET,NO,4300,2.300000031789144,3.2,28.25,49.5,-7.0,22
133104-28827,Dare Ogunbowale,RB,LV,MIA,4300,1.7363636710427024,4.08,22.5,41.5,-3.5,8
133104-173241,Barion Brown,WR,NO,DET,4300,,6.43,21.25,49.5,7.0,3
133104-166106,Damien Martinez,RB,GB,MIN,4300,,4.11,22.5,46.5,1.5,25
133104-151777,Eli Stowers,TE,PHI,WAS,4300,,6.89,25.0,44.5,-5.5,7
133104-86255,Josh Whyle,TE,GB,MIN,4300,1.9000000272478377,1.0,22.5,46.5,1.5,30
133104-174329,Brenen Thompson,WR,LAC,ARI,4300,,6.39,28.75,47.5,-10.0,19
133104-151806,Raheim Sanders,RB,CLE,JAC,4300,4.699999809265137,2.46,16.0,40.5,8.5,16
133104-12555,Baltimore Ravens,D,BAL,IND,4300,5.705882352941177,7.18,25.5,47.5,-3.5,16
133104-33047,Chris Moore,WR,BAL,IND,4300,3.3099998474121093,5.92,25.5,47.5,-3.5,2
133104-167306,Tanner Koziol,TE,JAC,CLE,4300,,5.45,24.5,40.5,-8.5,18
133104-160213,Isaiah Davis,RB,NYJ,TEN,4300,3.793750047683716,2.5,19.0,39.5,1.5,21
133104-87515,Tylan Wallace,WR,CLE,JAC,4300,1.3888888888888888,1.0,16.0,40.5,8.5,16
133104-201230,Dylan Laube,RB,LV,MIA,4300,0.1294117675108068,2.47,22.5,41.5,-3.5,8
133104-104012,Ashton Dulin,WR,IND,BAL,4300,1.5909090909090908,3.09,22.0,47.5,3.5,4
133104-27229,Ameer Abdullah,RB,JAC,CLE,4300,2.146153816810021,4.63,24.5,40.5,-8.5,11
133104-147168,Chris Blair,WR,ATL,PIT,4300,0.0,5.39,19.5,42.5,3.5,8
133104-57091,Tim Patrick,WR,NYJ,TEN,4300,3.157142911638533,3.79,19.0,39.5,1.5,5
133104-86800,Colson Yankoff,TE,WAS,PHI,4300,0.699999988079071,1.0,19.5,44.5,5.5,31
133104-173994,Zavion Thomas,WR,CHI,CAR,4300,,5.15,25.25,47.5,-3.0,22
133104-168916,Kaleb Johnson,RB,GB,MIN,4300,0.6300000190734864,1.0,22.5,46.5,1.5,25
133104-152537,Tai Felton,WR,MIN,GB,4300,0.4444444444444444,1.24,24.0,46.5,-1.5,14
133104-111637,Cade Stover,TE,HOU,BUF,4200,2.237499952316284,1.0,21.5,44.5,1.5,32
133104-133180,Ben Yurosek,TE,MIN,GB,4200,0.8000000317891439,1.0,24.0,46.5,-1.5,23
133104-64581,Van Jefferson,WR,WAS,PHI,4200,3.9642857142857135,2.32,19.5,44.5,5.5,25
133104-83117,Tanner Hudson,TE,CIN,TB,4200,3.829999923706055,6.7,27.0,50.5,-3.5,3
133104-40126,Austin Hooper,TE,ATL,PIT,4200,3.293750047683716,4.17,19.5,42.5,3.5,4
133104-12533,Green Bay Packers,D,GB,MIN,4200,4.611111111111111,3.0,22.5,46.5,1.5,16
133104-137488,Rasheen Ali,RB,BAL,IND,4200,1.5153846740722656,3.17,25.5,47.5,-3.5,20
133104-171332,Reggie Virgil,WR,ARI,LAC,4200,,3.41,18.75,47.5,10.0,23
