Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134152-225459,WR,Jeff,Jeff Caldwell,Caldwell,,0,1000,1500,DEN@KC,KC,DEN,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
134152-243761,WR,Kolbe,Kolbe Katsis,Katsis,,0,1000,1500,DEN@KC,DEN,KC,,,,,,MVP - 1.5X Points/AnyFLEX
134152-119730,WR,Jimmy,Jimmy Holiday,Holiday,,0,1000,1500,DEN@KC,KC,DEN,IR,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
134152-86075,TE,Lucas,Lucas Krull,Krull,1.25,2,1000,1500,DEN@KC,DEN,KC,,,,,,MVP - 1.5X Points/AnyFLEX
134152-152526,TE,Jake,Jake Briningstool,Briningstool,,0,1000,1500,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
134152-58189,TE,Mitchell,Mitchell Fraboni,Fraboni,,0,1000,1500,DEN@KC,DEN,KC,,,,,,MVP - 1.5X Points/AnyFLEX
134152-166095,RB,Cody,Cody Schrader,Schrader,,0,1000,1500,DEN@KC,DEN,KC,,,,,,MVP - 1.5X Points/AnyFLEX
134152-151757,QB,Garrett,Garrett Nussmeier,Nussmeier,,0,1000,1500,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
134152-91481,WR,Nikko,Nikko Remigio,Remigio,0.264285717691694,14,1000,1500,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
134152-42077,TE,James,James Winchester,Winchester,0,1,1000,1500,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
134152-166118,RB,Jaydn,Jaydn Ott,Ott,,0,1000,1500,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
134152-152933,TE,John Michael,John Michael Gyllenborg,Gyllenborg,,0,1000,1500,DEN@KC,KC,DEN,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
134152-166894,WR,Omari,Omari Evans,Evans,,0,1000,1500,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
134152-191983,TE,Dallen,Dallen Bentley,Bentley,,0,1000,1500,DEN@KC,DEN,KC,,,,,,MVP - 1.5X Points/AnyFLEX
134152-183290,WR,Andrew,Andrew Armstrong,Armstrong,,0,1000,1500,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
134152-128765,RB,Nate,Nate Carter,Carter,2,2,1000,1500,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
