Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
133646-169410,RB,Quinshon,Quinshon Judkins,Judkins,11.414285932268415,14,6400,CLE@JAC,CLE,JAC,,,,,,RB/FLEX
133646-55635,WR,Chris,Chris Godwin Jr.,Godwin Jr.,7.722222222222222,9,6300,TB@CIN,TB,CIN,,,,,,WR/FLEX
133646-73273,RB,David,David Montgomery,Montgomery,9.289411656996784,17,6300,BUF@HOU,HOU,BUF,,,,,,RB/FLEX
133646-44715,QB,Cooper,Cooper Rush,Rush,1.4299999475479126,4,6300,ATL@PIT,ATL,PIT,,,,,,QB
133646-166092,WR,Luther,Luther Burden III,Burden III,7.035294027889476,17,6200,CHI@CAR,CHI,CAR,Q,Groin,,,,WR/FLEX
133646-138774,RB,Woody,Woody Marks,Marks,8.994444105360243,18,6200,BUF@HOU,HOU,BUF,,,,,,RB/FLEX
133646-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,8.260000101725261,15,6100,CLE@JAC,JAC,CLE,,,,,,WR/FLEX
133646-72297,RB,Rico,Rico Dowdle,Dowdle,11.544444613986546,18,6100,ATL@PIT,PIT,ATL,,,,,,RB/FLEX
133646-243753,QB,Jack,Jack Strand,Strand,,0,6000,ATL@PIT,ATL,PIT,,,,,,QB
133646-169087,QB,Austin,Austin Reed,Reed,,0,6000,BAL@IND,BAL,IND,,,,,,QB
133646-103591,QB,Graham,Graham Mertz,Mertz,,0,6000,BUF@HOU,HOU,BUF,IR,Knee - acl,,,,QB
133646-86200,QB,Sean,Sean Clifford,Clifford,,0,6000,TB@CIN,CIN,TB,,,,,,QB
133646-69833,QB,Shane,Shane Buechele,Buechele,3.9200000762939453,1,6000,BUF@HOU,BUF,HOU,,,,,,QB
133646-86243,QB,Will,Will Levis,Levis,10.995000203450521,12,6000,NYJ@TEN,TEN,NYJ,,,,,,QB
133646-152820,QB,Taylen,Taylen Green,Green,,0,6000,CLE@JAC,CLE,JAC,,,,,,QB
133646-63759,RB,Tony,Tony Pollard,Pollard,10.488235473632812,17,6000,NYJ@TEN,TEN,NYJ,,,,,,RB/FLEX
133646-129315,QB,Anthony,Anthony Richardson Sr.,Richardson Sr.,0.8299999833106995,2,6000,BAL@IND,IND,BAL,,,,,,QB
133646-90406,QB,Zach,Zach Wilson,Wilson,0.3449999988079071,4,6000,NO@DET,NO,DET,,,,,,QB
133646-120105,QB,Will,Will Howard,Howard,,0,6000,ATL@PIT,PIT,ATL,,,,,,QB
133646-86312,WR,Alec,Alec Pierce,Pierce,11.053333536783855,15,6000,BAL@IND,IND,BAL,,,,,,WR/FLEX
133646-151938,QB,Luke,Luke Altmyer,Altmyer,,0,6000,NO@DET,DET,NO,,,,,,QB
133646-103824,QB,Easton,Easton Stick,Stick,,0,6000,TB@CIN,TB,CIN,,,,,,QB
133646-70051,QB,Tyler,Tyler Huntley,Huntley,8.027999877929688,5,6000,BAL@IND,BAL,IND,,,,,,QB
133646-151969,QB,Miller,Miller Moss,Moss,,0,6000,CHI@CAR,CHI,CAR,,,,,,QB
133646-60840,QB,Jake,Jake Browning,Browning,11.34800033569336,5,6000,TB@CIN,TB,CIN,,,,,,QB
133646-166314,QB,Cade,Cade Klubnik,Klubnik,,0,6000,NYJ@TEN,NYJ,TEN,,,,,,QB
133646-110000,QB,Connor,Connor Bazelak,Bazelak,,0,6000,TB@CIN,TB,CIN,,,,,,QB
133646-185776,QB,Tyson,Tyson Bagent,Bagent,1.2899999618530273,2,6000,CHI@CAR,CHI,CAR,,,,,,QB
133646-22994,QB,Case,Case Keenum,Keenum,,0,6000,CHI@CAR,CHI,CAR,,,,,,QB
133646-40407,QB,Joshua,Joshua Dobbs,Dobbs,0.5249999761581421,4,6000,NO@DET,DET,NO,,,,,,QB
